,Player,Team,Position,Status,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
199,"Smith, Adam",1,D,FA,23,1,0,7,0,1,39,9,41,5,0,1,2,27,51,26,0,25,6,1
200,"Gosling, Dan",1,M,FA,23,1,1,7,1,6,51,18,23,7,0,0,1,20,44,35,0,0,0,4
201,"Francis, Simon",1,D,FA,17,0,2,10,0,1,25,7,8,1,0,0,11,18,66,47,0,24,4,0
202,Isaac Success,18,F,FA,26,1,1,20,0,8,14,23,48,3,0,0,1,2,11,30,0,0,0,0
203,"Loftus-Cheek, Ruben",6,M,FA,20,5,2,12,0,7,11,20,17,0,0,0,0,6,3,15,0,0,0,3
204,"Babel, Ryan",9,M,OWNED,12,4,3,16,1,8,7,18,13,3,0,0,6,5,8,11,0,0,0,1
205,"Henderson, Jordan",12,M,FA,28,1,2,11,0,1,39,5,11,1,1,1,5,26,12,22,0,1,0,9
206,"Vietto, Luciano",9,F,FA,20,1,4,22,0,8,15,26,19,1,0,0,8,6,5,5,0,0,0,0
207,"De Cordova-Reid, Bobby",5,M,FA,24,4,2,12,1,7,16,28,23,0,0,0,2,2,10,11,0,0,0,1
208,"Diame, Mohamed",15,M,FA,27,0,0,2,0,3,75,37,19,3,0,0,1,26,34,34,0,0,0,6
209,"Vertonghen, Jan",17,D,FA,20,1,0,3,0,2,33,2,9,2,1,1,5,31,69,43,0,22,5,0
210,Kiko Femenia,18,D,FA,24,1,1,11,0,2,42,8,12,1,0,0,9,28,57,12,0,26,4,0
211,"Christie, Cyrus",9,D,FA,24,0,0,16,0,3,38,28,10,6,0,0,16,23,69,51,0,19,0,2
212,"Kovacic, Mateo",6,M,OWNED,28,0,2,23,0,4,34,37,29,1,0,0,0,8,16,7,0,0,0,6
213,"Sanchez, Alexis",14,F,OWNED,17,1,3,20,2,9,15,24,17,3,0,0,5,8,1,6,0,0,0,0
214,Sokratis,2,D,FA,22,0,2,5,0,1,37,5,19,10,0,0,0,24,102,45,0,26,5,0
215,"Valery, Yan",16,D,FA,19,2,0,5,0,4,33,24,4,3,1,1,5,19,55,32,0,1,2,1
216,"Long, Shane",16,F,FA,21,3,1,10,1,7,12,16,20,2,0,0,1,5,17,49,0,0,0,0
217,"Dendoncker, Leander",20,M,OWNED,14,1,0,5,0,6,47,4,9,1,0,0,1,19,25,33,0,0,0,2
218,"Gomez, Joseph",12,D,OWNED,13,0,0,7,0,1,17,2,9,2,0,0,2,14,39,24,0,4,7,0
219,"Lovren, Dejan",12,D,FA,11,1,0,1,1,1,12,1,7,1,0,0,2,7,44,41,0,5,5,0
220,"Giroud, Olivier",6,F,FA,24,2,4,17,0,9,3,6,6,1,0,0,0,3,6,37,0,0,0,0
221,"Meyer, Max",7,M,OWNED,25,1,2,19,1,8,22,19,14,3,0,0,4,10,16,4,0,0,0,4
222,"Mariappa, Adrian",18,D,FA,22,0,0,2,0,1,33,5,4,3,0,0,0,23,104,56,0,24,5,0
223,Kenedy,15,M,FA,23,1,1,10,0,6,28,40,21,1,0,0,9,31,19,7,0,2,0,5
224,"Kabasele, Christian",18,D,FA,18,0,0,2,0,2,23,0,11,1,1,1,0,34,96,55,0,21,3,0
225,"Koscielny, Laurent",2,D,OWNED,13,3,0,1,0,4,16,1,12,1,0,0,0,25,61,20,0,13,3,0
226,"Gray, Andre",18,F,FA,24,5,2,12,0,14,2,16,9,2,0,0,2,2,3,13,0,0,0,0
227,"Arter, Harry",5,M,FA,25,0,1,10,0,5,62,3,14,10,0,0,6,21,20,6,0,0,0,6
228,"Matic, Nemanja",14,M,FA,25,1,0,13,0,3,46,34,16,6,1,1,2,29,50,52,0,2,0,6
229,"Shelvey, Jonjo",15,M,FA,14,0,1,23,0,7,21,3,5,1,0,0,14,6,11,11,0,0,0,3
230,"Bissouma, Yves",3,M,FA,24,0,0,11,0,3,49,27,22,4,0,0,2,28,17,19,0,0,0,2
231,"Bacuna, Juninho",10,M,FA,17,1,0,15,0,7,36,12,11,3,0,0,8,20,9,14,0,3,0,0
