"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A","KP","AF","SOT","Tk","DIS","FS","YC","SYC","RC","AC","Int","CLR","AER","OG","GAD","CSD","CSM"
"Kenny, Jonjoe","EVE","D","303","FA","MUN Sun 8:30AM","62","6.2","2%","0%","10","0","1","6","0","0","21","9","1","1","0","0","4","17","30","23","0","15","1","0"
"Ruben Vinagre","WOLVES","D","304","FA","BRIGHT Sat 10:00AM","61.75","4.41","2%","0%","14","0","0","5","0","3","14","11","7","1","0","0","6","14","13","9","0","0","0","1"
"Stankovic, Jon Gorenc","HUD","D","305","FA","WAT Sat 10:00AM","58.75","6.53","4%","-0.1%","9","1","0","2","0","2","19","1","10","2","0","0","0","7","13","19","0","6","0","1"
"Jahanbakhsh, Alireza","BRIGHT","F","306","FA","CAR 2<br/>@BRIGHT 0 F","58.5","3.66","13%","-0.1%","16","0","0","4","0","6","27","19","6","2","0","0","6","8","2","8","0","0","0","3"
"Lallana, Adam","LIV","M","307","FA","@CAR Sun 11:00AM","58.5","4.5","12%","-0.1%","13","0","0","9","1","2","16","10","11","1","0","0","2","5","1","9","0","0","0","0"
"Walker-Peters, Kyle","TOT","D","308","FA","@MCI Sat 7:30AM","58","11.6","17%","-0.1%","5","0","3","7","0","0","5","1","8","1","0","0","4","2","2","1","0","2","1","1"
"Delph, Fabian","MCI","M","309","FA","TOT Sat 7:30AM","58","5.27","8%","-0.1%","11","0","1","3","0","3","23","1","7","1","0","1","3","13","17","9","0","9","3","0"
"Sturridge, Daniel","LIV","F","310","FA","@CAR Sun 11:00AM","56.5","3.53","12%","+0.1%","16","2","1","6","0","6","2","4","8","1","0","0","1","1","0","3","0","0","0","0"
"Surman, Andrew","BOUR","M","311","FA","FUL Sat 10:00AM","56","3.11","2%","0%","18","0","0","10","0","1","11","4","6","2","0","0","1","10","32","20","0","0","0","4"
"Long, Kevin","BURN","D","312","FA","@CHE Mon 3:00PM","56","9.33","1%","0%","6","0","1","1","0","0","18","1","5","0","0","0","0","7","34","20","0","9","1","0"
"Bruno","BRIGHT","D","313","FA","CAR 2<br/>@BRIGHT 0 F","53.25","5.33","3%","-0.1%","10","0","1","5","0","0","17","2","6","2","0","0","3","11","17","5","0","11","3","0"
"McTominay, Scott","MUN","M","314","FA","@EVE Sun 8:30AM","53","4.42","5%","+0.2%","12","1","0","0","0","4","9","2","13","0","0","0","0","9","13","30","0","5","0","1"
"Schneiderlin, Morgan","EVE","M","315","FA","MUN Sun 8:30AM","53","5.3","2%","0%","10","0","1","7","0","0","12","2","4","1","0","0","1","9","10","18","0","0","0","2"
"Harris, Kadeem","CAR","M","316","FA","CAR 2<br/>@BRIGHT 0 F","53","4.08","0%","0%","13","1","0","6","1","3","12","7","5","1","0","0","4","3","4","3","0","0","0","1"
"Rico, Diego","BOUR","D","317","FA","FUL Sat 10:00AM","52.75","4.4","1%","0%","12","0","0","11","0","0","15","5","11","1","0","0","11","14","17","7","0","13","0","0"
"Brady, Robbie","BURN","M","318","SLAM","@CHE Mon 3:00PM","52","3.71","10%","0%","14","0","1","12","0","2","12","9","4","3","0","1","10","6","15","11","0","0","0","1"
