,Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
270,"Iheanacho, Kelechi",11,F,271,FA,@WHU Sat 10:00AM,87.0,3.11,16%,0%,28,1,3,13,2,6,6,21,7,1,0,0,1,2,2,13,0,0,0,1
271,"Manquillo, Javier",15,D,272,FA,SOU Sat 12:30PM,86.5,5.77,1%,0%,15,0,2,6,0,0,22,7,6,2,0,0,3,14,36,15,0,10,3,1
272,"Mendez-Laing, Nathaniel",5,F,273,FA,CAR 2<br/>@BRIGHT 0 F,83.0,5.19,2%,0%,16,2,0,7,0,4,22,12,2,0,0,0,3,10,6,18,0,0,0,3
273,"Lennon, Aaron",4,M,274,FA,@CHE Mon 3:00PM,82.5,5.16,4%,0%,16,1,1,7,0,2,26,13,16,1,0,0,3,10,12,2,0,0,0,3
274,"Ghezzal, Rachid",11,M,275,FA,@WHU Sat 10:00AM,82.0,4.32,3%,0%,19,1,0,16,0,5,14,22,8,3,0,0,16,7,3,10,0,0,0,1
275,"Maitland-Niles, Ainsley",2,M,276,FA,CRY Sun 11:00AM,81.0,6.23,9%,+0.3%,13,1,1,6,0,3,29,13,10,1,0,0,1,17,11,5,0,2,0,2
276,"Zambo Anguissa, Andre-Frank",9,M,277,FA,@BOUR Sat 10:00AM,81.0,4.5,2%,+0.2%,18,0,0,6,0,5,34,27,16,1,1,1,1,27,21,15,0,0,0,1
277,"Bardsley, Phil",4,D,278,FA,@CHE Mon 3:00PM,79.5,4.18,1%,+0.1%,19,0,0,7,0,1,32,6,11,9,0,0,10,31,66,32,1,27,4,0
278,"Mina, Yerry",8,D,279,OWNDED,MUN Sun 8:30AM,78.5,6.54,17%,-0.1%,12,1,0,3,0,1,13,2,5,3,0,0,0,8,46,37,0,11,3,0
279,"Daniels, Charlie",1,D,280,FA,FUL Sat 10:00AM,78.25,3.73,15%,0%,21,1,0,11,0,3,25,7,7,4,0,0,9,20,43,29,0,32,3,1
280,"Zohore, Kenneth",5,F,281,FA,CAR 2<br/>@BRIGHT 0 F,77.0,4.81,3%,-0.1%,16,1,1,11,0,6,2,13,18,1,0,0,2,2,5,27,0,0,0,0
281,"Barnes, Harvey",11,M,282,FA,@WHU Sat 10:00AM,76.0,6.33,32%,-0.1%,12,0,2,14,1,7,8,15,6,0,0,0,3,3,4,5,0,0,0,1
282,"Obiang, Pedro",19,M,283,FA,LEIC Sat 10:00AM,76.0,3.62,1%,0%,21,0,1,4,0,1,37,5,9,0,0,0,1,9,14,11,0,0,0,1
283,"Aurier, Serge",17,D,284,OWNDED,@MCI Sat 7:30AM,75.75,9.47,23%,-0.2%,8,0,2,6,0,1,20,7,2,1,0,0,7,7,17,12,0,6,2,0
284,"Winks, Harry",17,M,285,FA,@MCI Sat 7:30AM,75.0,2.88,7%,0%,26,1,0,7,0,2,22,22,15,4,0,0,1,21,19,12,0,0,0,6
285,"Depoitre, Laurent",10,F,286,FA,WAT Sat 10:00AM,75.0,3.26,2%,0%,23,0,1,9,0,6,6,31,9,1,0,0,0,2,8,81,0,0,0,0
286,"Llorente, Fernando",17,F,287,FA,@MCI Sat 7:30AM,74.0,4.62,34%,+0.6%,16,1,4,12,0,4,1,7,4,2,0,0,0,1,9,43,1,0,0,0
287,"Higuain, Gonzalo",6,F,288,OWNDED,BURN Mon 3:00PM,72.5,7.25,83%,-0.1%,10,3,0,11,0,9,7,14,2,0,0,0,0,1,3,5,0,0,0,0
288,"Andone, Florin",3,F,289,FA,CAR 2<br/>@BRIGHT 0 F,71.5,3.76,2%,0%,19,3,0,2,0,8,8,26,18,3,0,0,2,2,8,33,0,0,0,0
289,"Foyth, Juan",17,D,290,FA,@MCI Sat 7:30AM,69.5,8.69,7%,0%,8,1,0,1,0,1,19,6,8,3,0,0,0,9,46,20,0,9,3,0
290,"Lookman, Ademola",8,F,291,FA,MUN Sun 8:30AM,67.0,3.72,3%,+0.1%,18,0,2,10,0,1,12,24,17,0,0,0,5,7,2,6,0,0,0,1
291,"Davies, Tom",8,M,292,FA,MUN Sun 8:30AM,67.0,4.19,2%,+0.1%,16,0,0,5,0,2,27,8,17,3,0,0,0,16,9,8,0,0,0,2
292,"Lowton, Matthew",4,D,293,FA,@CHE Mon 3:00PM,66.25,3.9,10%,+0.2%,17,0,0,5,0,0,42,8,11,5,0,0,5,23,57,22,0,33,4,0
293,Joselu,15,F,294,FA,SOU Sat 12:30PM,66.0,4.12,11%,0%,16,2,0,2,0,5,14,17,7,1,0,0,0,3,14,43,0,0,0,0
294,"Kachunga, Elias",10,F,295,FA,WAT Sat 10:00AM,65.0,3.61,1%,0%,18,0,0,5,0,3,22,17,20,2,0,0,5,4,8,23,0,0,0,1
295,"Benteke, Christian",7,F,296,OWNDED,@ARS Sun 11:00AM,64.5,4.61,44%,+0.1%,14,0,0,7,0,7,3,13,7,1,0,0,0,0,8,72,0,0,0,0
296,"Longstaff, Sean",15,M,297,FA,SOU Sat 12:30PM,64.5,7.17,2%,-0.1%,9,1,0,5,1,2,17,6,8,2,0,0,2,10,7,9,0,0,0,3
297,"Grant, Karlan",10,F,298,FA,WAT Sat 10:00AM,63.5,7.06,4%,0%,9,2,0,6,2,6,5,13,7,0,0,0,0,1,1,6,0,0,0,0
298,"Sema, Ken",18,M,299,FA,@HUD Sat 10:00AM,63.5,3.97,1%,0%,16,1,2,5,0,3,13,23,7,1,0,0,1,8,4,20,0,0,0,2
299,"Masina, Adam",18,D,300,FA,@HUD Sat 10:00AM,63.0,5.73,2%,+0.3%,11,0,1,3,0,0,24,1,8,4,0,0,4,16,30,20,0,15,2,0
300,"Diangana, Grady",19,M,301,FA,LEIC Sat 10:00AM,63.0,3.94,1%,0%,16,0,1,12,0,3,20,18,9,0,0,0,4,0,4,6,0,0,0,0
301,"Kayal, Beram",3,M,302,FA,CAR 2<br/>@BRIGHT 0 F,62.5,4.81,1%,0%,13,1,1,4,0,2,20,7,7,4,0,0,1,13,21,14,0,0,0,3
302,"Kenny, Jonjoe",8,D,303,FA,MUN Sun 8:30AM,62.0,6.2,2%,0%,10,0,1,6,0,0,21,9,1,1,0,0,4,17,30,23,0,15,1,0
303,Ruben Vinagre,20,D,304,FA,BRIGHT Sat 10:00AM,61.75,4.41,2%,0%,14,0,0,5,0,3,14,11,7,1,0,0,6,14,13,9,0,0,0,1
304,"Stankovic, Jon Gorenc",10,D,305,FA,WAT Sat 10:00AM,58.75,6.53,4%,-0.1%,9,1,0,2,0,2,19,1,10,2,0,0,0,7,13,19,0,6,0,1
305,"Jahanbakhsh, Alireza",3,F,306,FA,CAR 2<br/>@BRIGHT 0 F,58.5,3.66,13%,-0.1%,16,0,0,4,0,6,27,19,6,2,0,0,6,8,2,8,0,0,0,3
306,"Lallana, Adam",12,M,307,FA,@CAR Sun 11:00AM,58.5,4.5,12%,-0.1%,13,0,0,9,1,2,16,10,11,1,0,0,2,5,1,9,0,0,0,0
307,"Walker-Peters, Kyle",17,D,308,FA,@MCI Sat 7:30AM,58.0,11.6,17%,-0.1%,5,0,3,7,0,0,5,1,8,1,0,0,4,2,2,1,0,2,1,1
308,"Delph, Fabian",13,M,309,FA,TOT Sat 7:30AM,58.0,5.27,8%,-0.1%,11,0,1,3,0,3,23,1,7,1,0,1,3,13,17,9,0,9,3,0
309,"Sturridge, Daniel",12,F,310,FA,@CAR Sun 11:00AM,56.5,3.53,12%,+0.1%,16,2,1,6,0,6,2,4,8,1,0,0,1,1,0,3,0,0,0,0
310,"Surman, Andrew",1,M,311,FA,FUL Sat 10:00AM,56.0,3.11,2%,0%,18,0,0,10,0,1,11,4,6,2,0,0,1,10,32,20,0,0,0,4
311,"Long, Kevin",4,D,312,FA,@CHE Mon 3:00PM,56.0,9.33,1%,0%,6,0,1,1,0,0,18,1,5,0,0,0,0,7,34,20,0,9,1,0
312,Bruno,3,D,313,FA,CAR 2<br/>@BRIGHT 0 F,53.25,5.33,3%,-0.1%,10,0,1,5,0,0,17,2,6,2,0,0,3,11,17,5,0,11,3,0
313,"McTominay, Scott",14,M,314,FA,@EVE Sun 8:30AM,53.0,4.42,5%,+0.2%,12,1,0,0,0,4,9,2,13,0,0,0,0,9,13,30,0,5,0,1
314,"Schneiderlin, Morgan",8,M,315,FA,MUN Sun 8:30AM,53.0,5.3,2%,0%,10,0,1,7,0,0,12,2,4,1,0,0,1,9,10,18,0,0,0,2
315,"Harris, Kadeem",5,M,316,FA,CAR 2<br/>@BRIGHT 0 F,53.0,4.08,0%,0%,13,1,0,6,1,3,12,7,5,1,0,0,4,3,4,3,0,0,0,1
316,"Rico, Diego",1,D,317,FA,FUL Sat 10:00AM,52.75,4.4,1%,0%,12,0,0,11,0,0,15,5,11,1,0,0,11,14,17,7,0,13,0,0
317,"Brady, Robbie",4,M,318,OWNDED,@CHE Mon 3:00PM,52.0,3.71,10%,0%,14,0,1,12,0,2,12,9,4,3,0,1,10,6,15,11,0,0,0,1
318,"Bong, Gaetan",3,D,319,FA,CAR 2<br/>@BRIGHT 0 F,52.0,2.48,1%,+0.1%,21,0,0,9,0,0,15,17,4,0,0,0,9,25,42,23,0,34,4,0
319,"Peltier, Lee",5,D,320,FA,CAR 2<br/>@BRIGHT 0 F,51.75,3.23,1%,-0.1%,16,0,0,0,0,1,26,3,5,4,0,0,3,13,37,23,0,20,4,0
320,"Niasse, Oumar",5,F,321,FA,CAR 2<br/>@BRIGHT 0 F,50.5,3.16,5%,+0.3%,16,0,0,5,0,6,10,41,18,0,0,0,0,2,3,38,0,0,0,0
321,"Izquierdo, Jose",3,F,322,FA,CAR 2<br/>@BRIGHT 0 F,48.0,3.69,6%,+0.1%,13,0,1,6,1,3,13,10,5,1,0,0,1,4,4,2,0,0,0,2
322,"Hudson-Odoi, Callum",6,F,323,OWNDED,BURN Mon 3:00PM,47.5,5.28,43%,+0.3%,9,0,1,8,0,3,8,5,6,0,0,0,5,2,0,2,0,0,0,0
323,"Batshuayi, Michy",7,F,324,OWNDED,@ARS Sun 11:00AM,46.0,5.11,52%,+0.1%,9,2,0,2,1,6,1,10,2,0,0,0,0,3,0,10,0,0,0,0
324,"Carroll, Andy",19,F,325,FA,LEIC Sat 10:00AM,46.0,3.83,2%,-0.1%,12,0,0,4,0,6,4,8,8,2,0,0,0,1,8,46,0,0,0,0
325,"Coady, Conor",20,D,326,FA,BRIGHT Sat 10:00AM,45.75,1.39,10%,+0.4%,33,0,0,2,0,0,28,4,10,5,0,0,0,28,111,34,3,42,7,0
326,"Jagielka, Phil",8,D,327,FA,MUN Sun 8:30AM,45.75,9.15,5%,-0.1%,5,1,0,2,0,1,7,0,3,0,0,1,0,2,11,14,0,2,2,0
