,Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
480,"Christie-Davies, Isaac",12,M,481,FA,@CAR Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,"Coxe, Cameron",5,D,482,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,"Elliott, Harvey",9,M,483,FA,@BOUR Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,"Eyoma, Timothy",17,D,484,FA,@MCI Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,"Garcia, Eric",13,D,485,FA,TOT Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,"Giles, Ryan John",20,M,486,FA,BRIGHT Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,"Holland, Nathan",19,M,487,FA,LEIC Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,"John, Cameron",20,D,488,FA,BRIGHT Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,"Ostigard, Leo Skiri",3,D,489,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,"Sanders, Max",3,M,490,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Matty Daly,10,M,491,FA,WAT Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,"Ennis, Niall",20,F,492,FA,BRIGHT Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,"Kilman, Max",20,D,493,FA,BRIGHT Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,"Molumby, Jayson",3,M,494,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,"Woods, Sam",7,D,495,FA,@ARS Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,"Rojo, Marcos",14,D,496,FA,@EVE Sun 8:30AM,-0.75,-0.19,4%,0%,4,0,0,0,0,3,5,0,1,1,0,0,0,5,9,2,1,5,0,0
496,"Williams, Danny",10,M,497,FA,WAT Sat 10:00AM,-1.0,-0.2,1%,0%,5,0,0,1,0,0,0,4,1,1,0,0,0,1,2,0,0,0,0,0
497,"Ramsay, Kayne",16,D,498,FA,@NEW Sat 12:30PM,-2.25,-2.25,0%,0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,3,0,0
498,Jazz Richards,5,D,499,FA,CAR 2<br/>@BRIGHT 0 F,-5.25,-1.75,0%,0%,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,0,0
